"op","dms_update_ts","id","createdat","linkid","prioritytype","incidenttype","expirytime","expireusingexcessdelay","isactive","parentincidentid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2022-01-10 11:41:32.413000","237271","2022-01-10 22:11:00.0000000 +10:30","2647","5","3","",,,"0","dbo","BeaconIncidents","22","2022","01","10"
"D","2022-01-31 08:05:35.020000","238722","2022-01-31 16:57:30.0000000 +10:30","1738","5","4","",,,"0","dbo","BeaconIncidents","18","2022","01","31"
"D","2022-01-18 06:20:42.590000","237741","2022-01-18 15:53:01.0000000 +10:30","98","5","0","",,,"237740","dbo","BeaconIncidents","16","2022","01","18"
"I","2022-01-17 05:28:43.210000","237668","2022-01-17 15:58:31.0000000 +10:30","696","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","17"
"D","2022-01-17 05:28:43.210000","237665","2022-01-17 15:50:00.0000000 +10:30","110","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","17"
"I","2022-01-08 00:18:19.410000","237173","2022-01-08 10:48:00.0000000 +10:30","319","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","08"
"I","2021-12-31 15:16:21.993000","236904","2022-01-01 01:46:00.0000000 +10:30","2538","5","0","",,,"236903","dbo","BeaconIncidents","01","2022","01","01"
"D","2022-01-31 08:40:26.107000","238734","2022-01-31 19:04:30.0000000 +10:30","1453","5","0","",,,"0","dbo","BeaconIncidents","19","2022","01","31"
"I","2022-01-05 00:57:19.380000","237040","2022-01-05 11:27:02.0000000 +10:30","2757","5","0","",,,"0","dbo","BeaconIncidents","11","2022","01","05"
"U","2022-01-05 00:57:32.077000","237040","2022-01-05 11:27:02.0000000 +10:30","2757","5","3","",,,"0","dbo","BeaconIncidents","11","2022","01","05"
"I","2022-01-31 11:15:25.603000","238740","2022-01-31 21:45:00.0000000 +10:30","1819","5","0","",,,"0","dbo","BeaconIncidents","21","2022","01","31"
"D","2022-01-31 07:34:22.040000","238731","2022-01-31 17:51:30.0000000 +10:30","1820","5","0","",,,"0","dbo","BeaconIncidents","18","2022","01","31"
"D","2022-01-31 07:35:21.240000","238727","2022-01-31 17:36:30.0000000 +10:30","1649","5","4","",,,"238722","dbo","BeaconIncidents","18","2022","01","31"
