"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:38.771872","184","608 - Happy Valley Dr VMS to Daws Rd via Marion Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771877","185","608 - Happy Valley Dr VMS to Anzac Hwy via Marion Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771883","186","608 - Happy Valley Dr VMS to Daws Rd via South Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771888","187","608 - Happy Valley Dr VMS to Anzac Hwy via South Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771893","188","515 - North East Rd (E of Ascot Ave) to Hindmarsh","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771898","189","515 - North East Rd (E of Ascot Ave) to Kent Town","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771903","190","515 - North East Rd (E of Ascot Ave) to Melbourne St","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771908","191","515 - North East Rd (E of Ascot Ave) to Fitzroy Tce","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771914","192","304-Salisbury Hwy Green Fields to Gepps Cross","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771919","193","517-Montacute Rd to Stephens Tce","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771923","194","517-Montacute Rd to Hackney Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771928","195","Copper Coast VMS (near Paskeville) to Two Wells via Pt Wakefield Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771934","196","Copper Coast VMS (near Paskeville) to Two Wells via Detour Route","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771939","197","Augusta Hwy VMS (near Nantawarra) to Two Wells via Pt Wakefield Rd","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771945","198","Augusta Hwy VMS (near Nantawarra) to Two Wells via Detour Route","1","","","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771950","199","302-Pt Wakefield Rd - Bolivar Rd to Copper Coast Hwy","1","Port Wakefield Rd","Bolivar Rd to Waterloo Cnr Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
