"op","dms_update_ts","id","name","organizationid","sourceidtype","sourceid","enabled","trackedvehicletypeid","notes","createdat","createdbyid","deletedat","deletedbyid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:41.247489","68","BUS 61","1","1","0001951F81A8","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247500","69","BUS 62","1","1","0001951290E3","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247511","70","BUS 63","1","1","000195142CC8","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247522","71","BUS 64","1","1","000195142CED","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247533","72","BUS 80","1","1","000195142CC2","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247544","73","BUS 81","1","1","0001951D1C53","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247555","74","BUS 82","1","1","00019510CF15","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247566","75","BUS 83","1","1","00019511E9D3","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247577","76","BUS 58","1","1","000195142BFF","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247588","77","BUS 85","1","1","0001951290C1","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247598","78","BUS 87","1","1","00019511E9EB","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247610","79","BUS 88","1","1","00019511E9F5","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247620","80","BUS 89","1","1","000195142CDB","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247631","81","BUS 90","1","1","000195142CF5","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247642","82","BUS 92","1","1","0001951290B8","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247653","83","BUS 93","1","1","000195142BEF","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247664","84","BUS 94","1","1","0001951290C6","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247675","85","BUS 99","1","1","000195142D02","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247686","86","BUS 100","1","1","00019511E556","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247697","87","BUS 101","1","1","000195142CFC","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247708","88","BUS 102","1","1","0001951290CE","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247719","89","BUS 103","1","1","0001951F82B5","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247730","90","BUS 110","1","1","000195142CE9","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247741","91","BUS 111","1","1","00019510CF22","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.247751","92","BUS 112","1","1","000195142D12","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
