Route Id,Stop Id (Gtfs History Prod.Stops.Csv),Stop Name,Stop Id (Gtfs History Prod.Stops.Csv),Stop Lat,Stop Lon
H20,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
167,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
101,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
100N,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
100B,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
100,4030,Stop 9A Marion Rd - West side,"4,030",-34.95395628,138.5539324
J8,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
J7M,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
J7,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
H20,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
167C,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
167,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
101,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
100P,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
100C,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
100,4032,Stop 9A Marion Rd - East side,"4,032",-34.95400715,138.5541667
J8,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
J7,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
H20C,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
H20,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
168,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
167,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
101,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
100N,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
100B,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
100,3999,Stop 9 Marion Rd - West side,"3,999",-34.95096315,138.5537232
J8,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
J7M,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
J7,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
H20,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
167C,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
167,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
101,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
100P,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
100C,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
100,4000,Stop 9 Marion Rd - East side,"4,000",-34.95142423,138.5539993
J8,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
J7,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
H20C,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
H20,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
101,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
100N,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
100B,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
100,3940,Stop 8H Marion Rd - West side,"3,940",-34.948719,138.553555
J8,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
J7M,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
J7,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
H20,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
101,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
100P,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
100C,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
100,3936,Stop 8H Marion Rd - East side,"3,936",-34.948806,138.553793
J8,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
J7,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
H20C,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
H20,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
101,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
100N,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
100B,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
100,3889,Stop 8G Marion Rd - West side,"3,889",-34.94506693,138.5532942
J8,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
J7M,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
J7,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
H20,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
101,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
100P,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
100C,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
100,3896,Stop 8G Marion Rd - East side,"3,896",-34.94532219,138.5535472
J8,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
J7,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
H20C,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
H20,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
101,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
100B,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
100,3852,Stop 8F Marion Rd - West side,"3,852",-34.94236393,138.5531014
J8,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
J7M,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
J7,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
H20R,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
H20,3841,Stop 8F Marion Rd - East side,"3,841",-34.94197879,138.5533067
