Route Short Name,Route Id,Trip Id,Stop Id (Gtfs History Prod.Stops.Csv)
720,720,642694,4856
720,720,642694,4811
720,720,642694,4763
720,720,642694,4708
720,720,642694,4668
720,720,642694,4627
720,720,642694,4575
720,720,642694,4548
720,720,642694,4480
720,720,642694,4381
720,720,642694,4320
720,720,642694,4211
720,720,642694,4159
720,720,642694,4121
720,720,642694,3998
720,720,642694,3875
720,720,642695,100850
720,720,642695,100812
720,720,642695,100811
720,720,642695,4916
720,720,642695,4856
720,720,642695,4811
720,720,642695,4763
720,720,642695,4708
720,720,642695,4668
720,720,642695,4627
720,720,642695,4575
720,720,642695,4548
720,720,642695,4480
720,720,642695,4381
720,720,642695,4320
720,720,642695,4211
720,720,642695,4159
720,720,642695,4121
720,720,642695,3998
720,720,642695,3875
720,720,642696,100850
720,720,642696,100812
720,720,642696,100811
720,720,642696,4916
720,720,642696,4856
720,720,642696,4811
720,720,642696,4763
720,720,642696,4708
720,720,642696,4668
720,720,642696,4627
720,720,642696,4575
720,720,642696,4548
720,720,642696,4480
720,720,642696,4381
720,720,642696,4320
720,720,642696,4211
720,720,642696,4159
720,720,642696,4121
720,720,642696,3998
720,720,642696,3875
720,720,642697,100850
720,720,642697,100812
720,720,642697,100811
720,720,642697,4916
720,720,642697,4856
720,720,642697,4811
720,720,642697,4763
720,720,642697,4708
720,720,642697,4668
720,720,642697,4627
720,720,642697,4575
720,720,642697,4548
720,720,642697,4480
720,720,642697,4381
720,720,642697,4320
720,720,642697,4211
720,720,642697,4159
720,720,642697,4121
720,720,642697,3998
720,720,642697,3875
720,720,642698,100850
720,720,642698,100812
720,720,642698,100811
720,720,642698,4916
720,720,642698,4856
720,720,642698,4811
720,720,642698,4763
720,720,642698,4708
720,720,642698,4668
720,720,642698,4627
720,720,642698,4575
720,720,642698,4548
720,720,642698,4480
720,720,642698,4381
720,720,642698,4320
720,720,642698,4211
720,720,642698,4159
720,720,642698,4121
720,720,642698,3998
720,720,642698,3875
720,720,642699,100850
720,720,642699,100812
720,720,642699,100811
720,720,642699,4916
720,720,642699,4856
720,720,642699,4811
720,720,642699,4763
720,720,642699,4708
720,720,642699,4668
720,720,642699,4627
720,720,642699,4575
720,720,642699,4548
720,720,642699,4480
720,720,642699,4381
720,720,642699,4320
720,720,642699,4211
720,720,642699,4159
720,720,642699,4121
720,720,642699,3998
720,720,642699,3875
720,720,642700,100850
720,720,642700,100812
720,720,642700,100811
720,720,642700,4916
720,720,642700,4856
720,720,642700,4811
720,720,642700,4763
720,720,642700,4708
720,720,642700,4668
720,720,642700,4627
720,720,642700,4575
720,720,642700,4548
720,720,642700,4480
720,720,642700,4381
720,720,642700,4320
720,720,642700,4211
720,720,642700,4159
720,720,642700,4121
720,720,642700,3998
720,720,642700,3875
720,720,642701,100850
720,720,642701,100812
720,720,642701,100811
720,720,642701,4916
720,720,642701,4856
720,720,642701,4811
720,720,642701,4763
720,720,642701,4708
720,720,642701,4668
720,720,642701,4627
720,720,642701,4575
720,720,642701,4548
720,720,642701,4480
720,720,642701,4381
720,720,642701,4320
720,720,642701,4211
720,720,642701,4159
720,720,642701,4121
720,720,642701,3998
720,720,642701,3875
720,720,642702,100850
720,720,642702,100812
720,720,642702,100811
720,720,642702,4916
720,720,642702,4856
720,720,642702,4811
720,720,642702,4763
720,720,642702,4708
720,720,642702,4668
720,720,642702,4627
720,720,642702,4575
720,720,642702,4548
720,720,642702,4480
720,720,642702,4381
720,720,642702,4320
720,720,642702,4211
720,720,642702,4159
720,720,642702,4121
720,720,642702,3998
720,720,642702,3875
720,720,642703,100850
720,720,642703,100812
720,720,642703,100811
720,720,642703,4916
720,720,642703,4856
720,720,642703,4811
720,720,642703,4763
720,720,642703,4708
720,720,642703,4668
720,720,642703,4627
720,720,642703,4575
720,720,642703,4548
720,720,642703,4480
720,720,642703,4381
720,720,642703,4320
720,720,642703,4211
720,720,642703,4159
720,720,642703,4121
720,720,642703,3998
720,720,642703,3875
720,720,642704,100850
720,720,642704,100812
720,720,642704,100811
720,720,642704,4916
720,720,642704,4856
720,720,642704,4811
720,720,642704,4763
720,720,642704,4708
720,720,642704,4668
720,720,642704,4627
720,720,642704,4575
720,720,642704,4548
720,720,642704,4480
720,720,642704,4381
720,720,642704,4320
720,720,642704,4211
720,720,642704,4159
720,720,642704,4121
720,720,642704,3998
720,720,642704,3875
720,720,642705,100850
720,720,642705,100812
720,720,642705,100811
