"op","dms_update_ts","logtime","siteid","probeid","firstseenat","sourceidtype","trackedvehicletypeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day","op","dms_update_ts","id","number","activity_id","enabled","name","beaconindex","instance_id","androidname","longitude","latitude","status_date","entry_status_username","ingest_hour","ingest_year","ingest_month","ingest_day","in_out_filter","seq"
"I","2022-03-06 00:05:06.077000","2022-03-06 10:04:35 +10:30","438","968546674","2022-03-06 10:04:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.702724","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","12","2021","05","28","1","32"
"I","2022-03-06 00:05:06.077000","2022-03-06 10:04:35 +10:30","438","968546674","2022-03-06 10:04:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.374594","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","11","2021","07","06","2","33"
"I","2022-03-06 00:05:31.687000","2022-03-06 10:05:19 +10:30","88","968546674","2022-03-06 10:05:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336463","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","11","2021","07","06","2","34"
"I","2022-03-06 00:05:31.687000","2022-03-06 10:05:19 +10:30","88","968546674","2022-03-06 10:05:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677659","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","12","2021","05","28","1","35"
"I","2022-03-06 00:06:02.640000","2022-03-06 10:05:50 +10:30","229","968546674","2022-03-06 10:05:50 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.696421","229","229","1","true","PORTRUSH ROAD - CATOR STREET RN","543","PORTRUSH ROAD; CAYTOR STREET","PORTRUSH ROAD; CATOR STREET","138.642691","-34.942402",,"BTSites","12","2021","05","28","1","36"
"I","2022-03-06 00:06:02.640000","2022-03-06 10:05:50 +10:30","229","968546674","2022-03-06 10:05:50 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.338212","229","229","1","true","PORTRUSH ROAD - CATOR STREET RN","543","PORTRUSH ROAD; CAYTOR STREET","PORTRUSH ROAD; CATOR STREET","138.642691","-34.942402",,"BTSites","11","2021","07","06","2","37"
"I","2022-03-06 00:06:34.890000","2022-03-06 10:06:19 +10:30","1103","968546674","2022-03-06 10:06:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.380519","1103","1103","1","true","PORTRUSH ROAD  S OF HAY ROAD LINDEN PARK","108","PORTRUSH ROAD;  NEAR; HAY ROAD","Port Rush Road; near; Hay Road","138.643049","-34.947511",,"BTSites","11","2021","07","06","2","38"
"I","2022-03-06 00:06:34.890000","2022-03-06 10:06:19 +10:30","1103","968546674","2022-03-06 10:06:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.710084","1103","1103","1","true","PORTRUSH ROAD  S OF HAY ROAD LINDEN PARK","108","PORTRUSH ROAD;  NEAR; HAY ROAD","Port Rush Road; near; Hay Road","138.643049","-34.947511",,"BTSites","12","2021","05","28","1","39"
"I","2022-03-06 00:08:01.783000","2022-03-06 10:07:32 +10:30","1254","968546674","2022-03-06 10:07:32 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.393352","1254","1254","1","true","PORTRUSH ROAD  S OF FOWLERS ROAD GLEN OSMOND","61","PORTRUSH ROAD; NEAR; FOWLERS ROAD","Port Rush Road; near; Fowlers Road","138.643716","-34.95634",,"BTSites","11","2021","07","06","2","40"
"I","2022-03-06 00:08:01.783000","2022-03-06 10:07:32 +10:30","1254","968546674","2022-03-06 10:07:32 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.717191","1254","1254","1","true","PORTRUSH ROAD  S OF FOWLERS ROAD GLEN OSMOND","61","PORTRUSH ROAD; NEAR; FOWLERS ROAD","Port Rush Road; near; Fowlers Road","138.643716","-34.95634",,"BTSites","12","2021","05","28","1","41"
