"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"8167","17089.0","Stop 88 Main Rd - North East side","211-213 Main Rd, McLaren Vale","-35.213092","138.534929",,"http://www.adelaidemetro.com.au/stops/view/17089",,,,,"1175","2022","01","31","1175"
"3121","13013.0","Stop 8 Sixth Ave - East side","31A Sixth Ave, St Peters","-34.9067409145552","138.620742374805",,"http://www.adelaidemetro.com.au/stops/view/13013",,,,,"1175","2022","01","31","1175"
"2758","12658.0","Stop 10 Prospect Rd - East side","65 Prospect Rd, Prospect","-34.8902618275794","138.594321865895",,"http://www.adelaidemetro.com.au/stops/view/12658",,,,,"1175","2022","01","31","1175"
"8120","17047.0","Stop 144 Alexander St - East side","59 Alexander St, Sellicks Beach","-35.335103","138.450394",,"http://www.adelaidemetro.com.au/stops/view/17047",,,,,"1175","2022","01","31","1175"
"2533","12433.0","Stop 14 Prospect Rd - West side","198 Prospect Rd, Prospect","-34.879956","138.593469",,"http://www.adelaidemetro.com.au/stops/view/12433",,,,,"1175","2022","01","31","1175"
"3001","12893.0","Stop 23 Moules Rd - South side","48 Moules Rd, Magill","-34.902474","138.681221",,"http://www.adelaidemetro.com.au/stops/view/12893",,,,,"1175","2022","01","31","1175"
"5666","15508.0","Stop 54C Heysen Dr - East side","4 French Ct, Trott Park","-35.0758973804141","138.535098071086",,"http://www.adelaidemetro.com.au/stops/view/15508",,,,,"1175","2022","01","31","1175"
"3656","13538.0","Stop I1 King William St - East side","360 King William St, Adelaide","-34.932673","138.600389",,"http://www.adelaidemetro.com.au/stops/view/13538",,,,,"1175","2022","01","31","1175"
"101866","18957.0","Stop 77B Curtis Rd - South side","10 Greenfields Cl, Andrews Farm","-34.6657993172329","138.664884021904",,"http://www.adelaidemetro.com.au/stops/view/18957",,,,,"1175","2022","01","31","1175"
"8042","16969.0","Stop 101 Port Rd - North side","175 Port Rd, Aldinga","-35.267396","138.479878",,"http://www.adelaidemetro.com.au/stops/view/16969",,,,,"1175","2022","01","31","1175"
"100694","17792.0","Stop 18 Glynburn Rd - West side","69-71 Glynburn Rd, Glynde","-34.897031","138.656943",,"http://www.adelaidemetro.com.au/stops/view/17792",,,,,"1175","2022","01","31","1175"
"6572","16403.0","Stop 27 Seaview Rd - East side","280 Seaview Rd, Henley Beach","-34.9229232331929","138.495323742181",,"http://www.adelaidemetro.com.au/stops/view/16403",,,,,"1175","2022","01","31","1175"
"6338","16174.0","Stop 78 Commercial Rd - West side","147 Commercial Rd, Port Noarlunga South","-35.16893","138.47571",,"http://www.adelaidemetro.com.au/stops/view/16174",,,,,"1175","2022","01","31","1175"
"6459","16290.0","Stop U2 Victoria Sq - North West side","185-191 Victoria Square, Adelaide","-34.9277079698949","138.599306149146",,"http://www.adelaidemetro.com.au/stops/view/16290",,,,,"1175","2022","01","31","1175"
"1937","11854.0","Stop School Webb St / Old Port Rd","14 Webb St, Queenstown","-34.85826","138.50384",,"http://www.adelaidemetro.com.au/stops/view/11854",,,,,"1175","2022","01","31","1175"
"5521","15371.0","Stop 49C Perry Barr Rd - South side","96 Perry Barr Rd, Hallett Cove","-35.06272","138.51411",,"http://www.adelaidemetro.com.au/stops/view/15371",,,,,"1175","2022","01","31","1175"
"494","10482.0","Stop 50A Waterloo Corner Rd - South West side","36 Waterloo Corner Rd, Salisbury","-34.760761","138.637309",,"http://www.adelaidemetro.com.au/stops/view/10482",,,,,"1175","2022","01","31","1175"
